produit_id,produit_nom,categorie,mois,annee,quantite_totale,revenu_total,profit_total
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,9,2011,3,362.94,36.294
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,8,2013,2,241.96,24.196
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,3,2011,2,205.666,-12.098
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,10,2011,6,616.998,-36.294
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,10,2013,1,120.98,12.098
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,4,2011,3,308.499,-18.147
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,11,2012,3,290.352,-36.294
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,6,2014,5,514.165,-30.245
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,12,2013,2,205.666,-12.098
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,12,2014,3,148.257,15.6978
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,11,2012,4,186.048,9.3024
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,6,2014,3,174.42,41.8608
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,7,2014,3,87.21,-45.3492
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,4,2012,9,523.26,125.5824
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,10,2013,3,90.882,-190.8522
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,11,2011,2,222.666,10.4784
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,5,2014,7,623.4648,-119.1918
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,2,2014,1,89.0664,-17.0274
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,6,2011,4,193.0656,-19.8744
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,7,2012,6,127.764,-191.646
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,11,2012,12,681.408,42.588
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,4,2013,5,354.9,88.725
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,1,2014,3,212.94,53.235
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,1,2014,1,84.98,18.6956
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,11,2013,5,339.92,8.498
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,4,2013,5,556.665,6.549
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,11,2013,2,261.96,41.9136
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,8,2014,2,130.98,-89.0664
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,5,2014,3,314.352,-15.7176
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,9,2013,3,722.352,90.294
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,11,2012,3,613.9992,-18.0588
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,9,2014,2,180.588,-240.784
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,3,2012,6,1227.9984,-36.1176
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,7,2013,5,1279.165,225.735
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,3,2014,5,1023.332,-30.098
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,5,2014,1,204.6664,-6.0196
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,2,2014,1,240.784,30.098
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,9,2013,2,273.666,-12.8784
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,3,2014,2,257.568,-28.9764
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,6,2012,6,482.94,-376.6932
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,4,2014,4,387.136,-14.5176
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,9,2014,4,314.548,-87.1056
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,12,2014,13,1336.829,31.4548
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,3,2011,5,302.45,-199.617
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,10,2014,6,217.764,-384.7164
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,1,2011,5,181.47,-320.597
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,3,2013,1,72.294,-98.8018
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,11,2014,2,327.7328,-14.4588
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,12,2014,1,119.833,-12.6882
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,1,2013,4,451.136,-67.6704
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,6,2014,1,400.784,-5.0098
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,10,2012,1,425.833,20.0392
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,11,2011,10,4007.84,-50.098
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,12,2012,3,359.499,-29.6058
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,11,2014,3,359.499,-29.6058
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,7,2012,5,704.9,56.392
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,9,2011,2,801.568,-10.0196
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,9,2012,5,2003.92,-25.049
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,11,2013,8,3406.664,160.3136
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,4,2014,4,220.2656,-42.1096
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,4,2013,6,388.704,-4.8588
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,11,2012,6,145.764,-247.7988
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,10,2012,3,626.352,46.9764
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,8,2012,7,1552.831,200.9546
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,1,2013,6,1565.88,407.1288
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,9,2014,3,782.94,203.5644
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,11,2011,4,521.96,-250.5408
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,7,2012,5,913.43,-52.196
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,10,2013,4,1043.92,271.4192
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,12,2012,3,532.3992,-46.9764
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,12,2014,2,141.96,41.1684
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,6,2014,9,638.82,185.2578
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,11,2012,2,141.96,41.1684
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,11,2013,2,113.568,12.7764
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,2,2012,4,283.92,82.3368
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,12,2012,9,1039.626,-730.548
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,9,2013,2,477.666,84.294
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,12,2011,7,1573.488,196.686
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,7,2014,5,1194.165,210.735
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,10,2012,4,899.136,112.392
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,7,2012,2,301.96,60.392
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,6,2014,2,241.568,0.0
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,4,2014,2,205.3328,-36.2352
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,12,2012,2,131.104,8.194
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,9,2013,2,163.88,40.97
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,8,2013,4,163.88,-81.94
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,12,2013,1,81.94,20.485
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,11,2012,1,170.98,32.4862
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,7,2011,8,1367.84,259.8896
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,3,2012,3,512.94,97.4586
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,9,2011,3,435.999,20.5176
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,1,2011,3,333.999,3.9294
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,8,2014,2,183.372,-36.6744
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,10,2013,5,523.92,-26.196
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,10,2014,8,871.0169999999999,-9.168599999999998
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,7,2012,2,195.466,-13.7976
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,11,2014,2,183.968,-25.2956
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,9,2013,3,344.94,31.0446
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,9,2012,3,293.199,-20.6964
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,8,2013,2,156.3728,-52.8908
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,11,2011,3,275.952,-37.9434
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,12,2014,4,459.92,41.3928
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,3,2013,1,176.784,-22.098
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,9,2011,2,300.5328,-97.2312
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,12,2011,5,883.92,-110.49
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,1,2012,9,1352.3976,-437.5404
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,6,2013,2,353.568,-44.196
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,6,2011,2,353.568,-44.196
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,10,2014,5,2154.9,129.294
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,9,2014,3,1292.94,77.5764
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,4,2014,8,198.272,-32.2192
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,9,2012,2,61.96,4.3372
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,1,2011,4,61.96,-53.2856
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,7,2014,3,302.94,69.6762
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,4,2014,3,242.352,9.0882
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,11,2014,3,205.9992,-27.2646
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,4,2013,3,257.499,24.2352
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,12,2014,4,323.136,12.1176
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,12,2013,2,141.372,-14.1372
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,9,2013,3,173.94,13.9152
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,12,2013,7,405.86,32.4688
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,12,2012,4,69.576,-143.7904
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,11,2011,6,424.116,-30.294
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,7,2013,5,504.9,126.225
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,12,2014,8,242.352,-363.528
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,5,2014,3,302.94,75.735
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,10,2012,1,66.294,-103.8606
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,12,2014,1,220.98,50.8254
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,3,2014,2,441.96,101.6508
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,12,2013,10,781.864,-137.976
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,8,2012,6,586.398,34.494
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,9,2013,4,198.744,0.0
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,4,2014,8,482.664,85.176
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,10,2013,2,120.666,21.294
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,10,2014,2,307.666,-14.4784
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,11,2014,5,723.92,-81.441
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,8,2012,3,369.1992,-114.0174
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,11,2012,2,246.1328,-76.0116
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,12,2012,3,359.058,-71.8116
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,11,2013,2,341.96,54.7136
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,7,2014,3,435.999,5.1294
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,2,2011,2,290.666,3.4196
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,2,2013,2,239.98,52.7956
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,5,2012,5,509.9575,41.9965
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,2,2014,5,563.953,95.99199999999999
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,3,2013,5,299.975,-167.986
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,11,2011,3,305.9745,25.1979
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,6,2014,9,917.9235,75.5937
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,12,2014,5,479.96000000000004,11.998999999999999
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,9,2014,2,239.666,14.098
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,4,2012,5,352.45,-211.47
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,3,2012,4,383.4656,-67.6704
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,9,2011,5,493.43,-70.49
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,3,2011,10,1198.33,70.49
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,7,2011,1,119.833,7.049
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,6,2013,7,838.8309999999999,49.342999999999996
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,3,2013,3,301.47,-241.176
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,5,2012,7,1406.86,140.686
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,11,2012,7,1195.8310000000001,-70.34299999999999
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,12,2012,1,160.98,20.9274
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,10,2014,3,328.3992,-91.7586
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,10,2012,3,156.156,2.839199999999998
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,3,2012,2,141.96,39.7488
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,7,2013,5,177.45,-78.078
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,1,2011,2,141.96,39.7488
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,3,2013,5,241.332,-14.196
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,5,2011,7,349.965,-216.9783
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,11,2011,1,67.9932,-12.9987
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,5,2014,10,299.97,-509.94899999999996
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,9,2013,5,424.9575,19.998
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,11,2012,3,299.97,56.9943
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,12,2011,3,254.9745,11.9988
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,10,2014,2,199.98,37.9962
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,7,2012,4,384.944,-126.4816
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,8,2012,5,687.4,48.118
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,7,2013,11,1845.9959999999999,313.0954
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,11,2013,2,289.568,10.8588
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,8,2012,2,307.666,28.9568
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,1,2012,5,452.45,-244.323
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,9,2012,2,361.96,83.2508
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,5,2014,9,1628.82,374.6286
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,1,2013,3,173.94,38.2668
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,12,2014,2,78.8528,-11.596
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,7,2012,5,231.92,5.798
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,9,2012,1,46.384,1.1596
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,11,2013,3,86.97,-48.7032
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,7,2014,2,115.96,25.5112
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,5,2014,4,115.96,-64.9376
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,4,2014,7,344.981,28.4102
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,2,2014,5,231.92,5.798
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,6,2014,2,1497.666,140.9568
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,11,2012,5,4404.9,1013.127
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,9,2012,13,7312.134,-1506.4758000000002
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,9,2013,4,2396.2656,-317.1528
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,5,2011,8,1212.96,-69.312
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,2,2013,4,866.4,225.264
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,6,2014,7,1212.96,90.972
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,8,2014,4,866.4,225.264
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,12,2011,6,909.72,-51.984
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,9,2012,7,1516.2,394.212
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,7,2014,1,239.24,23.924
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,12,2014,3,897.15,251.202
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,7,2011,5,1196.2,119.62
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,9,2012,3,717.72,71.772
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,10,2014,2,478.48,47.848
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,2,2011,2,129.568,-24.294
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,8,2013,2,145.764,-8.098
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,4,2013,3,194.352,-36.441
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,12,2014,1,64.784,-12.147
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,6,2011,8,647.84,32.392
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,4,2012,1,56.686,-20.245
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,5,2014,8,518.272,-97.176
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,10,2011,2,433.568,-65.0352
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,7,2014,3,569.058,-178.8468
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,11,2013,3,650.352,-97.5528
